text,label
I want to file a complaint,complaint
Track my order please,query
What is the delivery status,query
This product is bad,complaint
Where is my order,query
Thank you very much,feedback
I need assistance with payment,request
Can you help me reset my account,request
I want a refund,complaint
This product is bad,complaint
Great service,feedback
What is the delivery status,query
Excellent support,feedback
Please help me,request
Great service,feedback
What is the delivery status,query
Where is my order,query
Very disappointed with the service,complaint
Excellent support,feedback
I am not happy with the service,complaint
Excellent support,feedback
When will my package arrive,query
Help me with this issue,request
I am happy with the service,feedback
This product is bad,complaint
Thank you very much,feedback
Excellent support,feedback
Very satisfied,feedback
I am not happy with the service,complaint
Can you tell me my order details,query
I am happy with the service,feedback
I am happy with the service,feedback
Where is my order,query
Very satisfied,feedback
Can you help me reset my account,request
Please help me,request
Can you tell me my order details,query
I am happy with the service,feedback
Can you help me reset my account,request
What is the delivery status,query
Track my order please,query
I need assistance with payment,request
Great service,feedback
Can you tell me my order details,query
I need assistance with payment,request
Where is my order,query
Where is my order,query
Can you help me reset my account,request
I am happy with the service,feedback
I am happy with the service,feedback
I need assistance with payment,request
Thank you very much,feedback
I need assistance with payment,request
Very disappointed with the service,complaint
Very disappointed with the service,complaint
Thank you very much,feedback
What is the delivery status,query
I want to file a complaint,complaint
I need support,request
This product is bad,complaint
Very disappointed with the service,complaint
Excellent support,feedback
When will my package arrive,query
I need assistance with payment,request
What is the delivery status,query
I am not happy with the service,complaint
I want a refund,complaint
Can you tell me my order details,query
I am happy with the service,feedback
This product is bad,complaint
I am happy with the service,feedback
Excellent support,feedback
I need support,request
Excellent support,feedback
Very disappointed with the service,complaint
Track my order please,query
Very disappointed with the service,complaint
Excellent support,feedback
Excellent support,feedback
Where is my order,query
Great service,feedback
I want to file a complaint,complaint
Can you tell me my order details,query
Very satisfied,feedback
What is the delivery status,query
Can you tell me my order details,query
Very satisfied,feedback
Please help me,request
Very satisfied,feedback
Great service,feedback
I am happy with the service,feedback
Great service,feedback
This product is bad,complaint
Help me with this issue,request
Excellent support,feedback
I need assistance with payment,request
Thank you very much,feedback
Where is my order,query
Thank you very much,feedback
Can you tell me my order details,query
I want a refund,complaint
Where is my order,query
Thank you very much,feedback
I need assistance with payment,request
I want a refund,complaint
This product is bad,complaint
I am happy with the service,feedback
Great service,feedback
I am happy with the service,feedback
Excellent support,feedback
When will my package arrive,query
Thank you very much,feedback
Can you tell me my order details,query
Excellent support,feedback
This product is bad,complaint
I am happy with the service,feedback
When will my package arrive,query
Very satisfied,feedback
I want to file a complaint,complaint
This product is bad,complaint
